# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	10635
#@/user_id	e20759ef-d2df-41e6-b751-89c12cbdc2a3
a 	啊	c=20 d=2.54268 t=10412
ye yao 	也要	c=1 d=1 t=2142
ye you 	也有	c=1 d=1 t=4763
yi 	一	c=3 d=0.155593 t=10587
yi 	以	c=5 d=1.97045 t=9409
yi 	億	c=2 d=1.99005 t=3035
yi 	易	c=1 d=1 t=5260
yi 	移	c=0 d=0.1 t=9
yi ban 	一般	c=4 d=1 t=8713
yi ban shi 	一般是	c=1 d=1 t=9482
yi bian 	一邊	c=0 d=0.1 t=10384
yi bu 	一部	c=1 d=1 t=555
yi bu fen 	一部分	c=1 d=1 t=6225
yi chang 	一場	c=0 d=0.1 t=2058
yi chang 	異常	c=4 d=3.20627 t=1257
yi chu 	溢出	c=4 d=3.39169 t=3412
yi ci 	以此	c=1 d=1 t=3227
yi cuo 	一錯	c=1 d=1 t=7390
yi dian 	一點	c=1 d=1 t=8003
yi ding 	一定	c=3 d=1.1312 t=9140
yi ding dao li 	一定道理	c=1 d=1 t=3238
yi dong 	移動	c=6 d=1.02399 t=8397
yi dong dao 	移動到	c=1 d=1 t=9617
yi fang wan yi 	以防萬一	c=1 d=1 t=343
yi fen 	一份	c=1 d=1 t=189
yi ge 	一個	c=26 d=1.66322 t=9869
yi ge ren 	一個人	c=1 d=1 t=8090
yi ge shi 	一個是	c=1 d=1 t=4949
yi gong 	一共	c=1 d=1 t=8063
yi hang 	一行	c=1 d=1 t=9205
yi hou 	以後	c=10 d=1.4061 t=10635
yi hui shi 	一回事	c=1 d=1 t=6927
yi ji 	以及	c=3 d=1.77217 t=2398
yi jian 	一鍵	c=5 d=1.7798 t=9700
yi jian shi 	一件事	c=1 d=0.101704 t=10056
yi jian shi qing 	一件事情	c=1 d=1 t=4213
yi jing 	已經	c=4 d=1.19513 t=4954
yi jing 	易經	c=1 d=1 t=5828
yi jing na ru 	已經納入	c=1 d=1 t=2523
yi jing shan chu le 	已經刪除了	c=1 d=1 t=4140
yi jiu 	依舊	c=3 d=1.00047 t=6412
yi ju 	一句	c=2 d=1 t=3243
yi ke yi 	亦可以	c=1 d=1 t=4480
yi lai 	以來	c=1 d=1 t=5514
yi lai 	依賴	c=5 d=2.15415 t=8749
yi lei 	一類	c=1 d=1 t=9803
yi lie 	一列	c=0 d=0.1 t=9277
yi luo 	遺落	c=1 d=1 t=3403
yi mai xiang cheng 	一脈相承	c=1 d=1 t=3133
yi ming 	一名	c=0 d=0.1 t=8059
yi qi 	一期	c=1 d=1 t=3764
yi qi 	一起	c=6 d=1.00775 t=8659
yi qian 	以前	c=11 d=0.970446 t=10635
yi qie 	一切	c=1 d=1 t=3793
yi qun 	一羣	c=1 d=1 t=5163
yi shang 	以上	c=2 d=1 t=6520
yi sheng 	一聲	c=1 d=1 t=76
yi sheng 	醫生	c=1 d=1 t=5411
yi shi 	一是	c=1 d=1 t=3124
yi shi jian 	一時間	c=1 d=1 t=4239
yi shua xin 	一刷新	c=1 d=1 t=10588
yi si 	意思	c=7 d=1 t=10602
yi tai 	一臺	c=1 d=1 t=5051
yi tao 	一套	c=0 d=0.1 t=8497
yi tian 	一天	c=1 d=1 t=5862
yi tiao 	一條	c=1 d=1 t=8652
yi wai 	以外	c=2 d=1 t=7553
yi wai 	意外	c=1 d=1 t=714
yi wei 	以爲	c=1 d=1 t=8046
yi xia 	一下	c=17 d=2.35966 t=10401
yi xia 	以下	c=1 d=1 t=1533
yi xia ge shi 	一下格式	c=1 d=1 t=1532
yi xia wu 	一下午	c=1 d=1.05798 t=10529
yi xia zi 	一下子	c=1 d=1 t=4232
yi xiang 	一項	c=0 d=0.1 t=2363
yi xie 	一些	c=16 d=1.01988 t=9782
yi xue 	醫學	c=1 d=1 t=3557
yi yang 	一樣	c=7 d=1.01608 t=10630
yi ye 	一頁	c=3 d=1.70532 t=8589
yi yun 	疑雲	c=1 d=0.100907 t=5257
yi zheng tian 	一整天	c=1 d=1 t=4824
yi zhi 	一直	c=3 d=1.65269 t=8427
yi zhi 	一致	c=1 d=1 t=521
yi zhi dao 	一直到	c=1 d=1 t=9442
yi zhi xing 	移植性	c=1 d=1 t=664
yin hang 	銀行	c=1 d=1 t=10138
yin hang ka 	銀行卡	c=1 d=1 t=10059
yin jing 	陰莖	c=1 d=1 t=3556
yin liang 	音量	c=1 d=1 t=9740
yin man 	隱瞞	c=1 d=1 t=3905
yin pin 	音頻	c=11 d=2.475 t=9121
yin ru 	引入	c=3 d=1 t=9022
yin wei 	因爲	c=17 d=1.11328 t=10366
yin yong 	引用	c=1 d=1 t=1165
yin yue 	音樂	c=1 d=1 t=3548
ying 	影	c=1 d=1 t=5905
ying bi 	硬幣	c=0 d=0.1 t=5716
ying bi shu fa 	硬幣書法	c=1 d=1 t=5717
ying gai 	應該	c=7 d=1.00642 t=10162
ying gai shi 	應該是	c=1 d=1 t=3857
ying jian 	硬件	c=2 d=1.99005 t=10025
ying she 	映射	c=5 d=1 t=9512
ying wen 	英文	c=7 d=1.00007 t=9182
ying wen ban 	英文版	c=1 d=1 t=10004
ying xiang 	影響	c=1 d=1 t=3604
ying xiao 	營銷	c=0 d=0.1 t=4132
ying xiao hao 	營銷號	c=1 d=1 t=4133
ying xiong 	英雄	c=1 d=1 t=5528
ying yin 	英音	c=1 d=1 t=5425
ying yong 	應用	c=4 d=1 t=10256
ying yu 	英語	c=68 d=3.84128 t=9118
ying yu ke 	英語課	c=1 d=1 t=7323
ying zhao 	應找	c=1 d=1 t=8823
yong 	用	c=17 d=0.198272 t=7673
yong bu 	永不	c=1 d=1 t=9554
yong chun 	永春	c=1 d=1 t=4005
yong chun 	詠春	c=2 d=1.99501 t=5817
yong dan mu 	用彈幕	c=1 d=1 t=1481
yong fa 	用法	c=1 d=1 t=1377
yong hao le 	用好了	c=1 d=1 t=7674
yong heng 	永恆	c=1 d=1 t=3537
yong lai 	用來	c=1 d=1 t=7116
yong le 	用了	c=1 d=1 t=7515
yong shi 	用時	c=1 d=1 t=844
yong yu 	用於	c=9 d=1.66388 t=9216
yong yuan 	永遠	c=2 d=1 t=9934
you 	又	c=3 d=2.07791 t=10588
you 	有	c=34 d=0.932394 t=10635
you 	油	c=2 d=1.64954 t=6822
you 	由	c=8 d=1.46533 t=9833
you bian 	右邊	c=1 d=1 t=8446
you bian cheng 	又變成	c=1 d=1 t=10589
you bu shi 	又不是	c=1 d=1 t=3284
you ci 	有詞	c=3 d=1 t=7004
you dao 	有道	c=5 d=1.08458 t=8572
you de 	有的	c=4 d=2.19914 t=4385
you de shi pin 	有的視頻	c=1 d=1 t=2813
you dian 	優點	c=1 d=0.941765 t=10635
you dian 	有點	c=3 d=1 t=7765
you dian duo 	有點多	c=1 d=1 t=175
you duo ge 	有多個	c=1 d=1 t=6467
you guan 	有關	c=1 d=1 t=1973
you hen duo 	有很多	c=3 d=1.0001 t=2704
you hou jiao ben 	油猴腳本	c=1 d=1 t=6714
you hua 	優化	c=6 d=1 t=9904
you ku 	優酷	c=2 d=1.24293 t=3873
you li yu 	有利於	c=1 d=1 t=661
you lie 	優劣	c=1 d=1 t=6099
you ming 	有名	c=1 d=1 t=3241
you nan du 	有難度	c=1 d=1 t=1136
you qi 	尤其	c=1 d=1 t=3134
you qiong 	有窮	c=4 d=2.74034 t=9978
you qu 	有趣	c=1 d=1 t=2828
you ren 	有人	c=4 d=2.83672 t=4574
you shen me 	有什麼	c=4 d=1.00001 t=10596
you shi 	有時	c=7 d=1.00717 t=8943
you shi pin 	有視頻	c=1 d=1 t=3112
you wen ti 	有問題	c=2 d=1 t=5348
you xi 	遊戲	c=1 d=1 t=2908
you xi wang 	有希望	c=1 d=1 t=9213
you xian 	優先	c=7 d=1 t=9670
you xiang 	郵箱	c=3 d=1.00006 t=9582
you xiang tu 	有向圖	c=15 d=2.664 t=2746
you xiao 	有效	c=1 d=1 t=3587
you xie 	有些	c=10 d=0.587098 t=10598
you xie ma fan 	有些麻煩	c=1 d=1 t=4491
you xiu 	優秀	c=3 d=1.00001 t=5416
you yi 	優異	c=1 d=1 t=7094
you yi ge 	由一個	c=1 d=1 t=9834
you yi tiao 	有一條	c=1 d=1 t=2626
you yi xie 	有一些	c=1 d=1 t=5028
you yin pin 	有音頻	c=1 d=1 t=8951
you yu gan 	有預感	c=1 d=1 t=4333
you yue 	優越	c=2 d=1 t=4334
yu 	於	c=2 d=1.05182 t=9816
yu 	與	c=48 d=2.50269 t=10210
yu 	雨	c=0 d=0.1 t=6009
yu 	魚	c=0 d=0.1 t=1422
yu bao 	預報	c=0 d=0.1 t=10442
yu bao ming 	預報名	c=1 d=1 t=10443
yu bei 	預備	c=1 d=1 t=6199
yu chu li 	預處理	c=2 d=1 t=9945
yu dao 	遇到	c=2 d=1.01337 t=1075
yu fa 	語法	c=14 d=7.46192 t=7824
yu fa ke 	語法課	c=1 d=1 t=7825
yu gan 	預感	c=0 d=0.1 t=4332
yu ke tang 	雨課堂	c=5 d=1.00188 t=9099
yu lin 	雨林	c=1 d=1 t=2822
yu suan fa 	與算法	c=1 d=1 t=2549
yu yan 	語言	c=23 d=2.81916 t=10289
yu yin 	語音	c=1 d=1 t=2934
yu zhou 	宇宙	c=3 d=1.21348 t=5917
yuan 	原	c=3 d=1 t=9576
yuan 	源	c=1 d=1 t=9578
yuan 	遠	c=0 d=0.1 t=7598
yuan ben 	原本	c=1 d=1 t=2907
yuan cheng 	遠程	c=1 d=1 t=9419
yuan chuang 	原創	c=5 d=2.17516 t=4780
yuan dai 	元代	c=1 d=1 t=3136
yuan dai ma 	源代碼	c=4 d=1 t=9551
yuan dian 	源點	c=1 d=1 t=2613
yuan lai 	原來	c=4 d=2.28661 t=3867
yuan li 	原理	c=16 d=2.48961 t=10207
yuan li tu 	原理圖	c=2 d=1.9802 t=3337
yuan ma 	源碼	c=5 d=1.00004 t=2904
yuan shi 	原始	c=1 d=1 t=3160
yuan shuai 	元帥	c=0 d=0.1 t=4119
yuan su 	元素	c=2 d=1.00115 t=3824
yuan wen 	原文	c=1 d=1 t=8481
yuan wen jian 	源文件	c=2 d=1.98511 t=9010
yuan xiao 	院校	c=1 d=1 t=6175
yuan xing 	原型	c=1 d=1 t=4
yuan yin 	原因	c=4 d=1.46301 t=8637
yuan yuan 	媛媛	c=1 d=1 t=3582
yuan ze 	原則	c=2 d=1 t=9849
yuan zi dan 	原子彈	c=1 d=1 t=1212
yuan zuo zhe 	原作者	c=1 d=1 t=4939
yue 	月	c=3 d=1 t=6020
yue 	越	c=1 d=1 t=824
yue du 	閱讀	c=8 d=1.05831 t=9117
yue gao 	越高	c=1 d=1 t=823
yun 	雲	c=1 d=1.01628 t=5623
yun suan 	運算	c=1 d=1 t=8849
yun suan qi 	運算器	c=3 d=2.89319 t=2987
yun xing 	運行	c=7 d=1 t=6260
yun xu 	允許	c=3 d=1.05642 t=9428
zai 	再	c=4 d=1.25538 t=8497
zai 	在	c=61 d=2.34639 t=10567
zai xia mian 	在下面	c=1 d=1 t=4575
zai xian 	在線	c=25 d=2.07915 t=7971
zai xian shi pin 	在線視頻	c=1 d=1 t=1948
zan me 	咱麼	c=2 d=1.89583 t=7756
zan men 	咱們	c=4 d=1.01246 t=10474
zan shi 	暫時	c=1 d=1 t=10547
zao dian 	早點	c=1 d=1 t=7904
zao shang 	早上	c=1 d=1 t=10417
zao zui 	遭罪	c=1 d=1 t=1069
ze cheng 	則稱	c=1 d=1 t=9830
ze die 	則跌	c=1 d=1 t=8587
ze ne ma 	則呢碼	c=1 d=1 t=7703
zen me 	怎麼	c=11 d=1.05296 t=8644
zeng guo fan 	曾國藩	c=1 d=1 t=3496
zeng qiang 	增強	c=1 d=1 t=9422
zeng song 	贈送	c=7 d=1.15431 t=8999
zeng zhang 	增長	c=1 d=1 t=5882
zhan 	佔	c=1 d=1 t=10305
zhan 	站	c=11 d=1.82705 t=6650
zhan chang 	戰場	c=1 d=1 t=3992
zhan kai 	展開	c=1 d=1 t=10317
zhan man 	佔滿	c=1 d=1 t=9416
zhan shi 	展示	c=1 d=1 t=913
zhan yi 	戰役	c=2 d=1.00006 t=5928
zhan zai 	站在	c=2 d=1.96561 t=4196
zhan zheng 	戰爭	c=1 d=1 t=5923
zhang 	章	c=5 d=2.19402 t=10248
zhang 	長	c=1 d=1 t=9171
zhang chen 	張晨	c=0 d=0.1 t=7067
zhang chen xi 	張晨錫	c=2 d=1.98511 t=7071
zhang guan 	掌管	c=1 d=1 t=3547
zhang hu 	賬戶	c=1 d=1 t=4953
zhang xiang 	長相	c=1 d=1 t=7302
zhang xue liang 	張學良	c=2 d=1.11418 t=5932
zhao 	找	c=5 d=1.69422 t=8802
zhao bu dao 	找不到	c=2 d=1.00003 t=2590
zhao cha 	找茬	c=1 d=1 t=4455
zhao dao 	找到	c=1 d=0.624663 t=2512
zhao dian 	找點	c=1 d=1 t=8501
zhao hui 	找回	c=1 d=1 t=7473
zhao ji 	着急	c=0 d=0.1 t=10463
zhao le 	找了	c=0 d=0.1 t=10384
zhao le yi bian 	找了一邊	c=1 d=1 t=10385
zhao na xie 	找那些	c=1 d=1 t=3704
zhao pian 	照片	c=1 d=0.1 t=5066
zhao qi lai 	找起來	c=2 d=1 t=8706
zhao ta 	找他	c=1 d=1 t=6557
zhao xiang 	照相	c=1 d=1 t=8084
zhe 	着	c=3 d=0.604241 t=7640
zhe 	轍	c=1 d=0.251072 t=4181
zhe 	這	c=4 d=1 t=9129
zhe bian 	這邊	c=1 d=1 t=7764
zhe bu suan 	轍不算	c=2 d=1.5599 t=4298
zhe ci 	這次	c=1 d=1 t=10185
zhe dang 	遮擋	c=1 d=1 t=1048
zhe die 	摺疊	c=6 d=4.8443 t=9381
zhe ge 	這個	c=25 d=0.856415 t=10635
zhe ji ge yue 	這幾個月	c=1 d=1 t=4240
zhe ji nian 	這幾年	c=1 d=1 t=7443
zhe jiang 	浙江	c=1 d=1 t=5829
zhe li 	這裏	c=8 d=1.08893 t=9682
zhe li de 	這裏的	c=1 d=1 t=638
zhe li shi 	這裏是	c=1 d=1 t=2429
zhe liang jie ke 	着兩節課	c=1 d=1 t=6302
zhe me 	這麼	c=6 d=1.0031 t=8992
zhe me da 	這麼大	c=0 d=0.1 t=7625
zhe me duo 	這麼多	c=1 d=1 t=53
zhe me shuo 	這麼說	c=1 d=1 t=10607
zhe me suan 	這麼算	c=1 d=1 t=7415
zhe me xuan 	這麼選	c=1 d=1 t=8192
zhe me zuo 	這麼做	c=1 d=1 t=10116
zhe shi 	這是	c=3 d=1.00985 t=4864
zhe shi wo men 	這是我們	c=1 d=1 t=157
zhe tiao 	這條	c=1 d=1 t=4395
zhe xia 	這下	c=1 d=1 t=7643
zhe xie 	這些	c=8 d=1.00592 t=9796
zhe xie le 	這些了	c=1 d=1 t=2385
zhe yang 	這樣	c=17 d=3.46864 t=8831
zhe ye hao 	着也好	c=1 d=1 t=7641
zhe zhong 	這種	c=3 d=1 t=8838
zhen 	真	c=1 d=1 t=8144
zhen 	臻	c=2 d=1.12682 t=5910
zhen de 	真的	c=9 d=1.96386 t=8100
zhen duan 	診斷	c=1 d=1 t=107
zhen dui 	針對	c=1 d=1 t=2218
zhen jing 	震驚	c=0 d=0.1 t=183
zhen jing le 	震驚了	c=1 d=1 t=184
zhen jing zhong wai 	震驚中外	c=1 d=1 t=5511
zhen shi 	真實	c=4 d=1.41702 t=5930
zhen shi 	真是	c=1 d=1 t=3913
zhen ti 	真題	c=4 d=1.66592 t=8499
zhen xiang 	真相	c=0 d=0.1 t=4764
zhen zheng 	真正	c=1 d=1 t=4103
zhen zhu gang 	珍珠港	c=1 d=1 t=4011
zheng 	證	c=2 d=1.00001 t=10433
zheng ban 	正版	c=1 d=1 t=236
zheng chang 	正常	c=3 d=1.05707 t=8203
zheng fu 	征服	c=1 d=1 t=5903
zheng jie 	整潔	c=1 d=1 t=3798
zheng kuai 	整塊	c=1 d=1 t=7362
zheng li 	整理	c=2 d=1 t=8275
zheng qi 	整齊	c=0 d=0.1 t=8724
zheng qian 	掙錢	c=1 d=1 t=4092
zheng shi 	正式	c=2 d=1.70822 t=10625
zheng shi 	正是	c=1 d=1 t=8812
zheng shi kai shi 	正式開始	c=1 d=1 t=6154
zheng shu 	整數	c=1 d=1 t=10311
zheng ti 	正題	c=1 d=1 t=3598
zheng wen 	正文	c=1 d=1 t=993
zheng ze 	正則	c=10 d=5.00951 t=9976
zheng ze biao da shi 	正則表達式	c=1 d=1 t=9480
zheng zheng shu 	正整數	c=1 d=1 t=3362
zheng zhi 	政治	c=2 d=1 t=3304
zhi 	之	c=2 d=1.05558 t=3515
zhi 	值	c=3 d=1.09778 t=9728
zhi 	志	c=1 d=1 t=1846
zhi biao 	製表	c=2 d=1.99501 t=6472
zhi bo 	直播	c=1 d=0.380832 t=6817
zhi bo ke 	直播課	c=1 d=1 t=6818
zhi chang 	職場	c=1 d=1 t=5610
zhi chi 	支持	c=1 d=1 t=1139
zhi chuan 	只穿	c=1 d=1 t=9847
zhi dao 	之道	c=2 d=1 t=10262
zhi dao 	指導	c=1 d=1 t=5441
zhi dao 	知道	c=9 d=1 t=10163
zhi ding 	指定	c=10 d=1.24571 t=10215
zhi gao 	之高	c=1 d=1 t=3223
zhi gao 	至高	c=1 d=1 t=3224
zhi ge 	之歌	c=1 d=1 t=5174
zhi hou 	之後	c=6 d=2.26701 t=10624
zhi hu 	知乎	c=1 d=1 t=6480
zhi jian 	之間	c=6 d=1.03527 t=4627
zhi jiao 	指教	c=1 d=1 t=6837
zhi jie 	直接	c=10 d=1.00038 t=9445
zhi jie shuo 	直接說	c=1 d=1 t=4282
zhi jiu 	之久	c=1 d=1 t=5520
zhi ling 	指令	c=3 d=1.92776 t=2963
zhi lu 	之路	c=1 d=1.00305 t=5890
zhi min 	殖民	c=2 d=1.97531 t=3614
zhi ming 	指明	c=1 d=1 t=9686
zhi ming 	致命	c=1 d=1 t=5177
zhi neng 	只能	c=4 d=1 t=10372
zhi neng 	智能	c=2 d=1.02692 t=7255
zhi qian 	之前	c=12 d=2.50868 t=8428
zhi qian dou shi 	之前都是	c=1 d=1 t=7655
zhi shao 	至少	c=1 d=1 t=4746
zhi shi 	知識	c=6 d=1.00018 t=9006
zhi shi dian 	知識點	c=2 d=1 t=3389
zhi shi fen zi 	知識分子	c=1 d=1 t=3210
zhi suo yi 	之所以	c=3 d=1.86071 t=8663
zhi xiang 	指向	c=5 d=3.41213 t=2322
zhi xing 	執行	c=3 d=1.63442 t=1206
zhi xing shi 	執行時	c=1 d=1 t=503
zhi yao 	只要	c=3 d=1.00074 t=9855
zhi yao shi 	只要是	c=1 d=1 t=2305
zhi ye 	之夜	c=1 d=1 t=3844
zhi yong 	只用	c=1 d=1 t=6912
zhi you 	只有	c=5 d=1.00011 t=10405
zhi you 	只由	c=1 d=1 t=9240
zhi yu 	治癒	c=1 d=1 t=8580
zhi yuan 	支援	c=1 d=1 t=5913
zhi zao 	製造	c=1 d=1 t=3949
zhi zhen 	指針	c=5 d=2.84014 t=2889
zhi zuo 	製作	c=3 d=1 t=6351
zhong 	中	c=15 d=2.29994 t=9791
zhong 	重	c=1 d=1 t=6354
zhong ang jian 	中昂間	c=1 d=1 t=8386
zhong duan 	終端	c=2 d=1.49907 t=6579
zhong guo 	中國	c=9 d=1.00034 t=7034
zhong guo ren 	中國人	c=1 d=1 t=9188
zhong jian 	中間	c=2 d=1.00053 t=2376
zhong jie fu 	終結符	c=1 d=1 t=24
zhong kao 	中考	c=1 d=1 t=141
zhong liang 	重量	c=0 d=0.1 t=3521
zhong shi ji 	中世紀	c=1 d=1 t=4908
zhong tai 	終態	c=1 d=1 t=9853
zhong wen 	中文	c=7 d=1.99005 t=8617
zhong wu 	中午	c=2 d=1.83946 t=7885
zhong yao 	重要	c=4 d=1.61263 t=5843
zhong yong 	仲永	c=1 d=1 t=3100
zhong yu 	終於	c=2 d=1.98511 t=7106
zhong zhi 	終止	c=1 d=1 t=9826
zhong zi 	種子	c=1 d=1 t=9824
zhou liu 	週六	c=1 d=1 t=1092
zhou nian 	週年	c=1 d=1 t=5453
zhou ri 	週日	c=1 d=1 t=1093
zhou wu 	週五	c=1 d=1 t=1085
zhou yi 	週一	c=2 d=1 t=5227
zhu 	主	c=0 d=0.1 t=1183
zhu 	助	c=1 d=1 t=5050
zhu han shu 	主函數	c=3 d=2.14223 t=1548
zhu jiang 	主講	c=1 d=1 t=7080
zhu liu 	主流	c=1 d=1 t=3127
zhu luo ji 	侏羅紀	c=2 d=1.9802 t=2886
zhu shi 	註釋	c=2 d=1 t=6496
zhu shi diao 	註釋掉	c=1 d=1 t=2358
zhu ti 	主題	c=2 d=1 t=9026
zhu ti 	主體	c=2 d=1.36972 t=9226
zhu wei 	朱偉	c=1 d=1 t=1667
zhu xi 	朱熹	c=2 d=1.96561 t=3138
zhu xiao 	註銷	c=1 d=1 t=4955
zhu yao 	主要	c=7 d=1 t=8666
zhu ye 	主頁	c=4 d=2.48257 t=6723
zhu yi 	注意	c=9 d=1.02489 t=9681
zhu yi dao 	注意到	c=1 d=1 t=8132
zhuan 	專	c=1 d=1 t=6545
zhuan 	轉	c=1 d=0.1 t=6543
zhuan huan 	轉換	c=4 d=1 t=9828
zhuan huan cheng 	轉換成	c=1 d=1 t=10310
zhuan sheng ben 	專升本	c=1 d=1 t=2006
zhuan shu 	專屬	c=1 d=1 t=7968
zhuan xuan ke 	轉選課	c=1 d=1 t=6544
zhuan ye ke 	專業課	c=1 d=1 t=7352
zhuan zai 	轉載	c=41 d=1 t=10032
zhuan zhu 	專注	c=1 d=1 t=1098
zhuan zi 	轉自	c=1 d=1 t=5325
zhuang che 	撞車	c=3 d=1.56624 t=4699
zhuang tai 	狀態	c=3 d=1.98086 t=9825
zhuang tai lan 	狀態欄	c=1 d=1 t=6355
zhuang tai xian 	狀態線	c=1 d=1 t=3086
zhui jia 	追加	c=2 d=1 t=9310
zhun bei 	準備	c=4 d=1.00002 t=10520
zhun bei hao 	準備好	c=1 d=1 t=1064
zhun kao zheng 	准考證	c=1 d=1 t=6997
zhuo mian 	桌面	c=1 d=1 t=2681
zi 	子	c=3 d=1.09979 t=7456
zi 	字	c=4 d=1.00005 t=8970
zi 	自	c=0 d=0.1 t=2890
zi dai 	自帶	c=3 d=1 t=9384
zi dan 	子彈	c=0 d=0.1 t=5384
zi ding yi 	自定義	c=3 d=1.04856 t=9459
zi dong 	自動	c=8 d=1.83751 t=10436
zi dong ji 	自動機	c=2 d=1.40657 t=9979
zi fu 	字符	c=12 d=1.00189 t=10301
zi fu chuan 	字符串	c=16 d=1.2442 t=10611
zi ji 	自己	c=12 d=1.89386 t=8137
zi liao 	資料	c=6 d=1.00009 t=9506
zi mu 	字幕	c=6 d=1 t=9898
zi mu 	字母	c=1 d=1 t=9899
zi mu biao 	字母表	c=1 d=1 t=9790
zi ran 	自然	c=2 d=1.98511 t=8939
zi shen 	自身	c=1 d=1 t=9510
zi ti 	字體	c=2 d=1.34819 t=9066
zi tie 	字帖	c=1 d=1 t=1826
zi tu 	子圖	c=3 d=2.93131 t=2783
zi wen ti 	子問題	c=1 d=1 t=6977
zi xin 	自信	c=1 d=1 t=8502
zi xin xin 	自信心	c=1 d=1 t=7475
zi xue 	自學	c=1 d=1 t=10031
zi yan xi tong 	自研系統	c=1 d=1 t=2891
zi yuan 	資源	c=10 d=1.77492 t=9581
zi zhi 	自製	c=2 d=1 t=10024
zong cai 	總裁	c=1 d=1 t=3053
zong jie 	總結	c=1 d=1 t=6868
zong xian 	總線	c=5 d=4.92167 t=3052
zou guo 	走過	c=1 d=1 t=5889
zou ren 	走人	c=1 d=1 t=8174
zu 	組	c=1 d=0.100002 t=2742
zu cheng 	組成	c=8 d=1.65705 t=6264
zu he 	組合	c=0 d=0.1 t=9513
zu he jian 	組合鍵	c=3 d=2.98506 t=9516
zuan 	鑽	c=1 d=1 t=9131
zui 	最	c=1 d=1 t=1073
zui chang 	最長	c=3 d=1.12493 t=9846
zui chi 	最遲	c=1 d=1 t=2659
zui da 	最大	c=1 d=1 t=2223
zui da shu 	最大數	c=1 d=1 t=2162
zui duan 	最短	c=2 d=1.99005 t=2720
zui duo 	最多	c=2 d=1 t=5122
zui hao 	最好	c=2 d=1 t=4410
zui hou 	最後	c=6 d=1.23109 t=10341
zui hou yi xiang 	最後一項	c=1 d=1 t=2364
zui jia 	最佳	c=1 d=1 t=817
zui jin 	最近	c=2 d=1 t=8556
zui keng 	最坑	c=1 d=1 t=6404
zui man 	最慢	c=0 d=0.1 t=5480
zui man chang 	最慢長	c=1 d=1 t=5481
zui xiao 	最小	c=3 d=1 t=6969
zui xiao quan zhi 	最小權值	c=1 d=1 t=2529
zui xiao sheng cheng shu 	最小生成樹	c=2 d=1.97045 t=2524
zui xiao zhi 	最小值	c=1 d=1 t=2490
zui xin 	最新	c=1 d=1 t=1031
zui zao 	最早	c=4 d=1 t=8760
zui zhong 	最終	c=1 d=0.1 t=10485
zui zhong que ding 	最終確定	c=1 d=1 t=10486
zun zhong 	尊重	c=1 d=1 t=3185
zuo 	做	c=8 d=2.02575 t=8922
zuo 	左	c=1 d=1 t=2068
zuo ai 	做愛	c=1 d=1 t=2090
zuo bian 	左邊	c=1 d=1 t=8445
zuo ce 	左側	c=1 d=1 t=331
zuo hao 	做好	c=1 d=1 t=161
zuo ti 	做題	c=1 d=1 t=1068
zuo tian 	昨天	c=3 d=1.00024 t=6562
zuo wan 	昨晚	c=2 d=1.78663 t=7824
zuo wei 	作爲	c=4 d=1 t=9565
zuo ye 	作業	c=1 d=1 t=7030
zuo yi ge 	做一個	c=1 d=1 t=8794
zuo yi tao 	做一套	c=1 d=1 t=8498
zuo yong 	作用	c=2 d=1 t=6494
zuo you 	左右	c=4 d=1.01231 t=9404
zuo zhe 	作者	c=6 d=1.00001 t=9039
